ID,Address,Zipcode,Latitude,Longitude,Price in Dollars,PriceValue
1,"912 Plaza Ln Richardson, TX",75080,32.941046,-96.758458,"$235,000 ",235000
2,"512 Fireside Dr Richardson, TX",75081,32.955821,-96.698858,"$175,000 ",175000
3,"2503 Little Creek Dr Richardson, TX",75080,32.986013,-96.727337,"$525,000 ",525000
4,"802 Downing Dr Richardson, TX",75080,32.949123,-96.749359,"$238,000 ",238000
5,"2439 Fairway Dr Richardson, TX",75080,32.98784,-96.735609,"$599,000 ",599000
6,"671 Matthew Pl Richardson, TX",75081,32.941668,-96.733593,"$325,000 ",325000
7,"2924 Whitemarsh Cir Richardson, TX",75080,32.995365,-96.733691,"$315,000 ",315000
8,"2210 Victoria Ln Richardson, TX",75082,32.979318,-96.693624,"$345,000 ",345000
9,"West # 84I6MF Richardson, TX",75080,32.987524,-96.716247,"$455,900 ",455900
10,"707 S Spring Creek Dr Richardson, TX",75081,32.937675,-96.688966,"$189,000 ",189000
11,"West # LMSJUD Richardson, TX",75080,32.987524,-96.716247,"$429,900 ",429900
12,"1105 Edith Cir Richardson, TX",75080,32.976705,-96.757538,"$399,900 ",399900
13,"800 Serenade Ln Richardson, TX",75081,32.943253,-96.713821,"$289,900 ",289900
14,"1624 Villanova Dr Richardson, TX",75081,32.948186,-96.692523,"$255,000 ",255000
15,"410 Ridge Crest Dr Richardson, TX",75080,32.978994,-96.728797,"$405,000 ",405000
16,"3220 Summerfield Dr Richardson, TX",75082,32.994079,-96.644598,"$479,999 ",479999
17,"323 Ridgeview Dr Richardson, TX",75080,32.985574,-96.722711,"$430,000 ",430000
18,"736 Downing Dr Richardson, TX",75080,32.948556,-96.747714,"$295,000 ",295000
19,"515 Brookshire Ln Richardson, TX",75080,32.982259,-96.734251,"$399,500 ",399500
20,"1502 Jennifer St Richardson, TX",75082,32.97927,-96.697093,"$330,000 ",330000
21,"612 Killarney Richardson, TX",75081,32.932471,-96.715926,"$340,000 ",340000
22,"1239 Briarcove Dr Richardson, TX",75081,32.950229,-96.701112,"$350,000 ",350000
23,"841 Dartford Dr Richardson, TX",75081,32.9358,-96.7229,"$352,773 ",352773
24,"840 Rohan Dr Richardson, TX",75081,32.9358,-96.7229,"$366,550 ",366550
25,"832 Rohan Dr Richardson, TX",75081,32.9358,-96.7229,"$339,719 ",339719
26,"824 Rohan Dr Richardson, TX",75081,32.9358,-96.7229,"$364,302 ",364302
27,"West # QLQIB9 Richardson, TX",75080,32.987524,-96.716247,"$451,900 ",451900
28,"421 Forest Grove Dr Richardson, TX",75080,32.996564,-96.724259,"$290,000 ",290000
29,"1011 Newberry Dr Richardson, TX",75080,32.960887,-96.751403,"$275,000 ",275000
30,"1309 Starshadow Dr Richardson, TX",75081,32.96391,-96.699439,"$209,000 ",209000
31,"2202 Bluebonnet Dr Richardson, TX",75082,32.995029,-96.682005,"$284,900 ",284900
32,"523 E Tyler St Richardson, TX",75081,32.949408,-96.719693,"$239,000 ",239000
33,"5200 Saint Croix Ct Richardson, TX",75082,33.003532,-96.625615,"$249,000 ",249000
34,"1893 Quail Ln Richardson, TX",75080,32.973759,-96.728528,"$849,000 ",849000
35,"1502 Potomac Dr Richardson, TX",75081,32.934224,-96.697115,"$228,800 ",228800
36,"432 434 Tiffany Trl Richardson, TX",75081,32.929692,-96.73206,"$320,000 ",320000
37,"1402 Lorrie Dr Richardson, TX",75080,32.968429,-96.729156,"$225,000 ",225000
38,"3302 Blue Bell Pl Richardson, TX",75082,32.996321,-96.677962,"$324,000 ",324000
39,"2108 Chestnut Hill Ln Richardson, TX",75082,32.9761,-96.684113,"$299,900 ",299900
40,"402 Saint Lukes Dr Richardson, TX",75080,32.955022,-96.756829,"$339,800 ",339800
41,"902 Spring Valley Plz Richardson, TX",75080,32.942026,-96.759338,"$219,900 ",219900
42,"605 Royal Crest Dr Richardson, TX",75081,32.954022,-96.717426,"$249,000 ",249000
43,"1623 Wisteria Way Richardson, TX",75080,32.973104,-96.745741,"$314,995 ",314995
44,"3708 Trailwood Dr Richardson, TX",75082,33.002757,-96.659069,"$495,000 ",495000
45,"603 Fairview Dr Richardson, TX",75081,32.950454,-96.717609,"$175,000 ",175000
46,"600 Shadywood Ln Richardson, TX",75080,32.946378,-96.755726,"$369,000 ",369000
47,"301 S Grove Rd Richardson, TX",75081,32.945255,-96.717736,"$246,000 ",246000
48,"1109 Northpark Dr Richardson, TX",75081,32.934331,-96.705792,"$275,000 ",275000
49,"912 Creekdale Dr Richardson, TX",75080,32.956752,-96.753509,"$534,950 ",534950
50,"432 Pleasant Valley Ln Richardson, TX",75080,32.994904,-96.726131,"$339,500 ",339500
51,"4133 Glenbrook Dr Richardson, TX",75082,32.996465,-96.643074,"$670,000 ",670000
52,"2502 Custer Pkwy Richardson, TX",75080,32.986801,-96.72791,"$429,900 ",429900
53,"610 Fieldwood Cir Richardson, TX",75081,32.931708,-96.72262,"$375,000 ",375000
54,"909 Redwood Ct Wylie, TX",75098,32.967941,-96.753051,"$355,172 ",355172
55,"3917 Clear Creek Ct Richardson, TX",75082,32.997939,-96.648944,"$480,000 ",480000
56,"609 Royal Crest Dr Richardson, TX",75081,32.954027,-96.717105,"$295,000 ",295000
57,"West # HFFYMT Richardson, TX",75080,32.987524,-96.716247,"$437,900 ",437900
58,"West # EUEV4P Richardson, TX",75080,32.987524,-96.716247,"$449,900 ",449900
59,"709 Royal Crest Dr Richardson, TX",75081,32.955177,-96.716936,"$255,000 ",255000
60,"5204 Limestone Ct Richardson, TX",75082,33.002443,-96.625155,"$1,200,000 ",1200000
61,"5714 Kensington Dr Richardson, TX",75082,33.00169,-96.61518,"$324,997 ",324997
62,"705 Royal Crest Dr Richardson, TX",75081,32.95497,-96.716924,"$255,000 ",255000
63,"613 Royal Crest Dr Richardson, TX",75081,32.954036,-96.716785,"$295,000 ",295000
64,"1904 Chestnut Hill Ln Richardson, TX",75082,32.974628,-96.68786,"$299,000 ",299000
65,"1021 Lake Ridge Dr Richardson, TX",75081,32.931956,-96.720084,"$475,000 ",475000
66,"West # YENM45 Richardson, TX",75080,32.987524,-96.716247,"$439,900 ",439900
67,"1045 Clove Glen Ct Lucas, TX",75002,32.961332,-96.75905,"$725,000 ",725000
68,"West # SXTCYD Richardson, TX",75080,32.987524,-96.716247,"$441,900 ",441900
69,"821 Dublin Dr APT 229 Richardson, TX",75080,32.944114,-96.762956,"$89,900 ",89900
70,"919 S Weatherred Dr APT 159H Richardson, TX",75080,32.941645,-96.751213,"$75,000 ",75000
71,"821 Dublin Dr APT 203 Richardson, TX",75080,32.944114,-96.762956,"$130,000 ",130000
72,"821 Dublin Dr APT 125 Richardson, TX",75080,32.944114,-96.762956,"$99,900 ",99900
73,"701 Dumont Dr Richardson, TX",75080,32.946027,-96.744148,"$289,900 ",289900
74,"2406 Fairway Dr Richardson, TX",75080,32.985059,-96.73331,"$1,729,900 ",1729900
75,"3207 Foxboro Dr Richardson, TX",75082,32.995949,-96.696053,"$162,000 ",162000
76,"327 High Brook Dr Richardson, TX",75080,32.99569,-96.720233,"$449,000 ",449000
77,"528 Melody Ln Richardson, TX",75081,32.941507,-96.72083,"$295,000 ",295000
78,"806 N Lindale Ln Richardson, TX",75080,32.958753,-96.739132,"$244,900 ",244900
79,"806 Vinecrest Ln Richardson, TX",75080,32.976962,-96.749061,"$238,500 ",238500
80,"4408 Breckinridge Blvd Richardson, TX",75082,32.991028,-96.639161,"$495,000 ",495000
81,"223 Waterview Ct Hickory Creek, TX",75065,32.952997,-96.756084,"$339,000 ",339000
82,"402 Ridgewood Dr Richardson, TX",75080,32.989505,-96.721949,"$340,000 ",340000
83,"522 Harvest Glen Dr Richardson, TX",75081,32.928362,-96.725548,"$335,000 ",335000
84,"400 S Waterview Dr Richardson, TX",75080,32.948725,-96.757618,"$329,000 ",329000
85,"510 Copper Ridge Dr Richardson, TX",75080,32.978413,-96.735826,"$270,000 ",270000
86,"1125 Dumont Dr Richardson, TX",75080,32.947499,-96.757111,"$250,000 ",250000
87,"1435 Dumont Dr Richardson, TX",75080,32.946275,-96.768622,"$367,000 ",367000
88,"2682 Mum Dr Richardson, TX",75082,32.987342,-96.67089,"$395,000 ",395000
89,"2903 Saint Andrews Dr Richardson, TX",75082,32.989745,-96.684852,"$449,900 ",449900
90,"3007 Tam O Shanter Ln Richardson, TX",75080,32.994763,-96.735445,"$925,000 ",925000
91,"15 Walnut Creek Pl Richardson, TX",75080,32.991503,-96.740319,"$489,990 ",489990
92,"221 Waterview Ct Hickory Creek, TX",75065,32.952976,-96.756084,"$424,000 ",424000
93,"522 Apollo Rd Richardson, TX",75081,32.954304,-96.720084,"$190,000 ",190000
94,"1631 Villanova Dr Richardson, TX",75081,32.948644,-96.691808,"$273,000 ",273000
95,"607 Winchester Dr Richardson, TX",75080,32.957044,-96.74034,"$329,900 ",329900
96,"217 Waterview Ct Hickory Creek, TX",75065,32.952934,-96.756084,"$404,000 ",404000
97,"909 Forreston Dr Richardson, TX",75080,32.969611,-96.752586,"$250,000 ",250000
98,"649 Sheffield Dr Richardson, TX",75081,32.929758,-96.718451,"$239,000 ",239000
99,"1807 Drake Dr Allen, TX",75002,32.955101,-96.690216,"$500,000 ",500000
100,"628 Kirby Ln Richardson, TX",75080,32.961439,-96.743088,"$539,000 ",539000
101,"625 Killarney Richardson, TX",75081,32.93292,-96.714876,"$524,900 ",524900
102,"210 Fall Creek Dr Richardson, TX",75080,32.980809,-96.718566,"$534,999 ",534999
103,"1913 Centenary Dr Richardson, TX",75081,32.947808,-96.687874,"$264,000 ",264000
104,"2513 Custer Pkwy Richardson, TX",75080,32.987963,-96.728582,"$490,000 ",490000
105,"15 Willow Creek Pl Richardson, TX",75080,32.990684,-96.739858,"$489,900 ",489900
106,"331 Ridge Crest Dr Richardson, TX",75080,32.978427,-96.726883,"$1,199,000 ",1199000
107,"3217 Forestbrook Dr Richardson, TX",75082,32.992919,-96.642009,"$410,000 ",410000
108,"219 Waterview Ct Hickory Creek, TX",75065,32.952956,-96.756084,"$429,000 ",429000
109,"308 Stonebridge Dr Richardson, TX",75080,32.982581,-96.722163,"$588,900 ",588900
110,"5811 Abingdon Dr Richardson, TX",75082,32.997936,-96.613625,"$425,000 ",425000
111,"1407 Flintwood Dr Richardson, TX",75081,32.93562,-96.698282,"$264,900 ",264900
112,"3209 Grantham Dr Richardson, TX",75082,32.995277,-96.614331,"$329,000 ",329000
113,"637 Sherwood Dr Richardson, TX",75080,32.948766,-96.743371,"$319,900 ",319900
114,"1425 Lamp Post Ln Richardson, TX",75080,32.945436,-96.767438,"$395,000 ",395000
115,"3205 Wyndmere Dr Richardson, TX",75082,32.994912,-96.685074,"$519,900 ",519900
116,"3031 Hillingdon Dr Richardson, TX",75082,32.990097,-96.621754,"$505,050 ",505050
117,"5 Briarwood Cir Richardson, TX",75080,32.961162,-96.757332,"$650,000 ",650000
118,"3507 Mapleleaf Ln Richardson, TX",75082,32.99993,-96.659093,"$425,000 ",425000
119,"629 W Belt Line Rd Richardson, TX",75080,32.950581,-96.742591,"$325,000 ",325000
120,"400 High Brook Dr Richardson, TX",75080,32.996159,-96.721878,"$998,990 ",998990
121,"5441 Caine Rd Richardson, TX",75082,32.9915,-96.6969,"$490,323 ",490323
122,"2107 Apollo Rd Richardson, TX",75081,32.953331,-96.684242,"$275,000 ",275000
123,"3402 Sweetwater Dr Richardson, TX",75082,32.997085,-96.645816,"$450,000 ",450000
124,"7517 Briarglen Ct Garland, TX",75044,32.984662,-96.641734,"$460,000 ",460000
125,"34 Balmoral Richardson, TX",75082,32.985456,-96.620075,"$1,099,000 ",1099000
126,"1321 Melrose Dr Richardson, TX",75080,32.97047,-96.765983,"$400,000 ",400000
127,"West # AMEKWH Richardson, TX",75080,32.987524,-96.716247,"$441,900 ",441900
128,"1704 Rainbow Dr Richardson, TX",75081,32.941014,-96.692518,"$265,000 ",265000
129,"222 Canyon Valley Dr Richardson, TX",75080,32.994422,-96.714084,"$414,999 ",414999
130,"233 High Brook Dr Richardson, TX",75080,32.99568,-96.715233,"$375,000 ",375000
131,"1102 Grassmere Dr Richardson, TX",75080,32.972842,-96.757199,"$989,000 ",989000
132,"626 Ashfield Richardson, TX",75081,32.931649,-96.714438,"$369,000 ",369000
133,"720 Winchester Dr Richardson, TX",75080,32.958008,-96.746229,"$395,000 ",395000
134,"807 Morningstar Trl Richardson, TX",75081,32.94122,-96.712731,"$297,500 ",297500
135,"50 Balmoral Richardson, TX",75082,32.986631,-96.619751,"$1,259,900 ",1259900
136,"220 E Kaufman St Richardson, TX",75081,32.946897,-96.731356,"$382,900 ",382900
137,"429 Fall Creek Dr Richardson, TX",75080,32.983207,-96.727911,"$628,600 ",628600
138,"3005 Taos Ct Richardson, TX",75082,32.991388,-96.637565,"$415,000 ",415000
139,"719 Laguna Dr Richardson, TX",75080,32.943643,-96.753775,"$328,500 ",328500
140,"4133 Greenfield Dr Richardson, TX",75082,32.988818,-96.643353,"$475,000 ",475000
141,"810 Clearwater Dr Richardson, TX",75080,32.958866,-96.74993,"$499,900 ",499900
142,"5819 Baskerville Dr Richardson, TX",75082,32.99,-96.613774,"$399,000 ",399000
143,"2705 Cherry Ct Richardson, TX",75082,32.986905,-96.635646,"$425,000 ",425000
144,"4152 Greenfield Dr Richardson, TX",75082,32.988708,-96.642006,"$425,000 ",425000
145,"1707 Mayflower Dr Richardson, TX",75081,32.939773,-96.692292,"$289,900 ",289900
146,"3405 White Oak Dr Richardson, TX",75082,32.997718,-96.658019,"$500,000 ",500000
147,"4419 Kelly Dr Richardson, TX",75082,32.998036,-96.637639,"$425,000 ",425000
148,"218 E Kaufman St Richardson, TX",75081,32.9469,-96.731364,"$376,900 ",376900
149,"104 N Gentle Dr Richardson, TX",75080,32.951649,-96.748022,"$750,000 ",750000
150,"2608 Bitternut Dr Richardson, TX",75082,32.985407,-96.617246,"$465,000 ",465000
151,"3730 Wagon Wheel Way Celina, TX",75009,33.003047,-96.637685,"$450,000 ",450000
152,"214 E Kaufman St Richardson, TX",75081,32.946907,-96.731378,"$376,900 ",376900
153,"216 E Kaufman St Richardson, TX",75081,32.946903,-96.73137,"$376,900 ",376900
154,"642 Old Campbell Rd Richardson, TX",75080,32.975589,-96.739341,"$405,000 ",405000
